titulo,meters,price,bathrooms,category,link,municipality,operation,owner,rooms
"Casa adosada via Augusta, Urbanitzacions de Llevant, Tarragona",420 m²,€ 895.000,2 baños,Casa adosada,https://www.indomio.es/anuncios/93724431/,Tarragona,Venta,GARRIDO IMMOBILIÀRIA,7
"Piso de tres habitaciones Avenida Catalunya, Eixample, Tarragona",90 m²,€ 135.000,desc,Piso,https://www.indomio.es/anuncios/93579669/,Tarragona,Venta,GARRIDO IMMOBILIÀRIA,3
"Piso de una habitación planta baja, Nou Eixample, Tarragona",124 m²,€ 200.000,1 baño,Piso,https://www.indomio.es/anuncios/93159917/,Tarragona,Venta,"MediterrÁnea Finques Grup, S.L",2
"Piso de tres habitaciones buen estado, sexta planta, Nou Eixample, Tarragona",75 m²,€ 89.000,1 baño,Piso,https://www.indomio.es/anuncios/95890891/,Tarragona,Venta,Fincas Miramar,4
"Piso de cuatro habitaciones Calle Prat De La Riba, Nou Eixample, Tarragona",97 m²,€ 41.400,1 baño,Piso,https://www.indomio.es/anuncios/95861437/,Tarragona,Venta,Aliseda Inmobiliaria,5
"Piso de tres habitaciones Orosi 8, Barris Marítims, Tarragona",89 m²,€ 138.000,1 baño,Piso,https://www.indomio.es/anuncios/94425237/,Tarragona,Venta,Exp España,4
"Casa unifamiliar 6 habitaciones, buen estado, Urbanitzacions de Llevant, Tarragona",398 m² ,€ 495.000,3 baños,Casa unifamiliar,https://www.indomio.es/anuncios/94512751/,Tarragona,Venta,Grup RA - Advocada Real Estate,9
"Piso de tres habitaciones Calle Alguer, Nou Eixample, Tarragona",76 m²,€ 169.000,desc,Piso,https://www.indomio.es/anuncios/93981843/,Tarragona,Venta,SantiForés Immobles,3
"Piso de cuatro habitaciones de Ramón y Cajal, Nou Eixample, Tarragona",99 m²,€ 179.000,2 baños,Piso,https://www.indomio.es/anuncios/95345397/,Tarragona,Venta,Finques Villa Tarraco,6
"Piso de tres habitaciones Calle Cinc, Bonavista, Tarragona",105 m²,€ 172.500,2 baños,Piso,https://www.indomio.es/anuncios/95477221/,Tarragona,Venta,Aliseda Inmobiliaria,5
