meters,price,bathrooms,category,link,municipality,operation,owner,rooms
115 m²,€ 170.000,2 baños,Piso,https://www.indomio.es/anuncios/96001943/,Albacete,Venta,Inmobiliaria La Mancha,5
125 m²,€ 290.000,2 baños,Piso,https://www.indomio.es/anuncios/82394005/,Albacete,Venta,Inmobiliaria Tejares,5
174 m²,€ 235.000,2 baños,Piso,https://www.indomio.es/anuncios/83358868/,Albacete,Venta,Inmobiliaria Tejares,7
200 m²,€ 130.000,,Caserío,https://www.indomio.es/anuncios/84736581/,Albacete,Venta,Alquilofacil - Albacete,
204 m²,€ 395.000,3 baños,Piso,https://www.indomio.es/anuncios/88347751/,Albacete,Venta,Inmobiliaria Tejares,8
272 m²,€ 355.000,3+ baños,Casa unifamiliar,https://www.indomio.es/anuncios/90192945/,Albacete,Venta,InmoHouse,6
268 m²,€ 253.000,1 baño,Casa unifamiliar,https://www.indomio.es/anuncios/90851777/,Albacete,Venta,InmoHouse,4
470 m²,€ 625.000,3+ baños,Casa adosada,https://www.indomio.es/anuncios/92688179/,Albacete,Venta,Inmobiliaria Tejares,11
103 m²,€ 175.000,2 baños,Piso,https://www.indomio.es/anuncios/92727571/,Albacete,Venta,Inmobiliaria La Mancha,5
231 m²,€ 370.000,3 baños,Piso,https://www.indomio.es/anuncios/93636079/,Albacete,Venta,Germán - gestión de inmuebles,8
120 m²,€ 225.000,2 baños,Piso,https://www.indomio.es/anuncios/94072189/,Albacete,Venta,,5
80 m²,€ 98.000,1 baño,Piso,https://www.indomio.es/anuncios/94463371/,Albacete,Venta,Alquilofacil - Albacete,4
138 m²,€ 450.000,2 baños,Piso ,https://www.indomio.es/anuncios/94697593/,Albacete,Venta,,6
102 m²,€ 168.000,2 baños,Piso,https://www.indomio.es/anuncios/94857397/,Albacete,Venta,InmoHouse,5
80 m²,€ 220.000,1 baño,Piso,https://www.indomio.es/anuncios/95205781/,Albacete,Venta,InmoHouse,3
93 m²,€ 162.000,2 baños,Piso,https://www.indomio.es/anuncios/95205793/,Albacete,Venta,InmoHouse,4
